web-scraper-order,web-scraper-start-url,single,single-href,title,price,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715879116-43,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=9&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Nitro 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive - Shale Black",https://www.amazon.ca/Acer-Laptop-Memory-NVIDIA-GeForce/dp/B07C6WYLQB/ref=sr_1_198?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.C1gajOAR5dZqetdxsbVxxZ9QQCuFL_lCatP4-aYPmgEbrDgZa3Gxt2ZxXaeERTZJya4OHWbsH_GZcCah04FjrYo9NdJU2A2gRI1eW9kqIsaOsG8AeaGs0hBv0TE6pxQh19utRQ0x-cekim6rSuQ2JvRbBl_NLM523LaIhHTs_mHXndY-amV63r-2sDmQvZmNCUooXY4nc0UhZhroTe6u1dvEuyTRroKNMCeztTceck9Om9yIT1rgCSoHjSl1ZP-X9vv48ixx1ypodmnHXqHsgylk1kloKmAcXEc4szO36lQ.WB5jFUSbHzSHwWS-6a6GE4Pcargq3lAUevaT9s8YkL0&dib_tag=se&keywords=acer+laptop&qid=1715879046&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-198&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Acer - Nitro 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive - Shale Black",1439,Acer,Acer Nitro,15.6,_1920x1080,Intel Core i5,_core_i5,_Dedicated,8,1 TB HDD,Windows 10,,4,Intel
1715950019-183,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=3&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"82H900J3CC 17.3"" HD+ Intel Core i3-1115G4 Laptop - Arctic Grey",https://www.amazon.ca/Lenovo-82H900J3CC-Intel-i3-1115G4-Laptop/dp/B0BCCS8VYV/ref=sr_1_58?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.wiqCflSWxZYEytuAWW-Sx8hucCrKZEh0Zg5R-kLQB4y6ORJDpPOZX06o63TN44efw7s3EnN6IVRCjfUJAgTeP7me7v4H1iMEH9eTz1wGaX5h8O4IAEzMFe-vOxVIwhQmZVlH4YlGuTncPWmZi1GOTFyDijojxxtkXmZpZeaGphnBtlne0G8Ulx1TbonPpqa8C_wemTXsmKOgqQvcQ-uojKPoGfSC0TuvBJaLH6viMAt6a2WskHGNlREfhgfC78Fz61Ef94f7VZHibQnwDbvE8F0l-apGst8iBWBEa5voGu4.YdHAjccXqKaJVGkz2Cm-d4z3rT2c-aNYt8MyjfbUz0k&dib_tag=se&keywords=lenovo+laptop&qid=1715949949&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-58&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Lenovo 82H900J3CC 17.3"" HD+ Intel Core i3-1115G4 Laptop - Arctic Grey",546,Lenovo,IdeaPad 3 17ITL6,17.3 Inches,_1600 x 900,Intel Core i3,_3 GHz apple_ci3,,16,1 TB HDD,Windows 11 Home,,2,Intel
1715879385-111,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=6&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Aspire 5 A515-45 Laptop 2023-15.6"" FHD AMD Radeon Graphics - AMD Ryzen 7 5700U 8 Cores - 16GB DDR4 1TB SATA HDD 5400 RPM - Backlit Keyboard Wi-Fi 6- Win11 OCM 32GB USB - Pure Silver",https://www.amazon.ca/Acer-Aspire-A515-45-2023-15-6-Graphics/dp/B0CGXDBWT9/ref=sr_1_130?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9._-rStJjmP3pasBfECPFZiwvhLWWneudZoc3CSk2ASCF7kVroxbEObqN30wYIU_9Vub5RejGWG6Kc4DQzycc4QPR7eUfFRUB6R0GXWyGkdhL5VfvUFk3sPzt3yIJOHb5VjimK2z3qE3vLewRgbw5RudijlwtxMqNeycrhfCC0cllJ0y880MlsT4F-9Ecc9dWOPD-A1NZM4Dsjk4Evn52NoHwafwvWwvY6H_DqjrQ5gP3w2oAcM_hNRKSCI7HnUbGowXUyQFL-Hqs0sikkhPQZPrCsaKt48wWZ5W2wU_02iqs.S5HFj8tsXuhwAGEGkmLB2_FSeDdKYFjXd7-5At5DiBI&dib_tag=se&keywords=acer+laptop&qid=1715879326&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-130&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Acer Aspire 5 A515-45 Laptop 2023-15.6"" FHD AMD Radeon Graphics - AMD Ryzen 7 5700U 8 Cores - 16GB DDR4 1TB SATA HDD 5400 RPM - Backlit Keyboard Wi-Fi 6- Win11 OCM 32GB USB - Pure Silver",1254,Acer,Aspire 5 A515-45,15.6,_1920 x 1080,AMD Ryzen 7,_2 GHz ryzen_7,_Integrated,16,1 TB HDD,Windows 11 Home,_56.01 x 35.64 x 10.21 cm; 1.76 kg,8,AMD
1715877679-47,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=9&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,2023 Dell Inspiron 16Ã“ WUXGA Touch Laptop 12-Core Intel Core i7-1360P Iris Xe Graphics 16GB LPDDR5 1TB Hybrid Thunderbolt 4 USB-C WiFi AX BT Webcam HDMI2.0 Backlit KB Fingerprint Windows 10 Pro,https://www.amazon.ca/Dell-Inspiron-i7-1360P-Thunderbolt-Fingerprint/dp/B0CPDVVPG4/ref=sr_1_194?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.MZU4_YHYMYGpb6arD5iWMWUaHUhO4UapYDVDeHPkpZWWNsKmh5U6Nx04Qut6l8ITh-csNpdHOJ2XN2lrc3zdhk_UH78niwbyEkvkF3zA7rXReGDicE4EiPzV8_y4FQHHays7wrJkznhp4Tvcuy6PuYo39OzsD0sYGWfaEwBhlrCycA3nrKhxoC7pkITOP2VQShvjMOY3bmY0V3K99H9ONUGkW0KtTiq2-RktcC5YuFB-uY7e0eVOyNMQ6VTmiESd77n4MuX5ckDEVryrMpb4K0cO6F2SuX2hi2bbGhzmRTY.HM07mhwUgfd6CSoIGqlOraFt5IRHRfsVEPXVRJ7XEtc&dib_tag=se&keywords=dell+laptop&qid=1715877596&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-194&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,2023 Dell Inspiron 16Ã“ WUXGA Touch Laptop 12-Core Intel Core i7-1360P Iris Xe Graphics 16GB LPDDR5 1TB Hybrid Thunderbolt 4 USB-C WiFi AX BT Webcam HDMI2.0 Backlit KB Fingerprint Windows 10 Pro,1497,Dell,Inspiron 16 7630,16 Inches,_1920 x 1200,Intel Core i7,_2.9 GHz core_i7_family,_Integrated,16,1 TB Hybrid,Windows 10 Pro,_55.88 x 35.56 x 10.16 cm; 2.18 kg,12,Intel
1715879500-138,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=5&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Predator Helios, 15.6"" QHD IPS Laptop, Intel Core i7-12700H, NVIDIA GeForce RTX 3070 Ti, 16 RAM, 1024GB SSD, Windows 11",https://www.amazon.ca/Acer-Predator-i7-12700H-GeForce-Windows/dp/B0C4FTV7YY/ref=sr_1_103?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.CqZ5O5z2Rz7aUst8duLBRM-28qXlhb8Do0PzPuOKSOj-cOvKAclUN-nhXTRx66UGbaPz7rGFrgbIdA5ZryndEZf03-KMkilh4Z_HS98MXCVgn4Vx67UezHds1NuzNg9jLj0BaFyCMvZZwB3ofST5ot_kpjCU8QtsOrlEqmcJP4GrGDfoGLgNrd88nTesMvhbzDuQnM6inU0iyHsSdnDpDKj3r3A5wb1VbWgU18-GbV4ZsTFtxMLpXu6KIBbgCJ2IameFwOAUFwc-RA_qclGQ4NU7Mo7luishRBLQiAJMZho.eteyJZA38tCJLkFvjLnx9XMxjTUBv8xcIi0msnXo0mA&dib_tag=se&keywords=acer+laptop&qid=1715879418&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-103&ufe=app_do%3Aamzn1.fos.a4f9e18d-83e4-4dfa-94d2-717d5a20bf26,"Acer Predator Helios, 15.6"" QHD IPS Laptop, Intel Core i7-12700H, NVIDIA GeForce RTX 3070 Ti, 16 RAM, 1024GB SSD, Windows 11",1699,Acer,PH315-55-70K4,15.6,_1920 x 1080,Intel Core i7,_3.5 core_i7,_Dedicated,16,1 TB SSD,Windows 11,_54.6 x 36.8 x 10.4 cm; 5.08 kg,1,Intel
1715879857-216,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Predator Helios PH315-55-76BU, 15.6"" QHD 2560x1440 IPS 165Hz 3ms G-SYNC Gaming Laptop, Intel Core i7-12700H, NVIDIA GeForce RTX 3060, 16GB DDR5 RAM, 1024GB SSD, Windows 11",https://www.amazon.ca/Acer-Predator-i7-12700H-NVIDIA%C2%AE-GeForce/dp/B0C4FRW12B/ref=sr_1_25?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.Np7XGK6yZMI6bFrqjIxjg_zAwc-T2nmDLEzRnR_93AXdfKELTxvdz42u7faREswhmNQimY8Nx-Hges_gF6QJkQR7fE0oTijaEDEr-H3N7imKAIJoyJQZcDu4wyAiHjmUDooIEwCSTsmbI3aICquuNULOIFmfJakU1BEO5_eo-r16JQgGbF5bjd1RjB9WNwkKm5v6UGbF6AVspmhUKWTuhBd0tYfQRi5WV1EVjj_f3e-3twMxZUBg6xLEBk1e7aFbOAD2bOvN6fppyqFV4kZUalwxKwVO_72C8zcgSgq4kE4.EzrpgkxeTzR09EFMtwcJO4xLPnNgwEWT2AAeb4uYcDY&dib_tag=se&keywords=acer+laptop&qid=1715879737&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-25&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Acer Predator Helios PH315-55-76BU, 15.6"" QHD 2560x1440 IPS 165Hz 3ms G-SYNC Gaming Laptop, Intel Core i7-12700H, NVIDIA GeForce RTX 3060, 16GB DDR5 RAM, 1024GB SSD, Windows 11",1137,Acer,PH315-55-76BU,15.6,_1920 x 1080,Intel Core i7,_2.3 GHz core_i7,_Dedicated,16,1 TB SSD,Windows 11,_54.6 x 37.2 x 10.2 cm; 5.1 kg,1,Intel
1715879808-207,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Aspire 7 A715-43G-R83Y, 15.6"" FHD 1920x1080 IPS Laptop, AMD Ryzen 7 5825U, GeForce RTX 3050Ti, 16GB RAM, 1024GB SSD, Windows 11",https://www.amazon.ca/Acer-Aspire-Laptop-GeForce%C2%AE-Windows/dp/B0C4FTXR9S/ref=sr_1_34?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.Np7XGK6yZMI6bFrqjIxjg_zAwc-T2nmDLEzRnR_93AXdfKELTxvdz42u7faREswhmNQimY8Nx-Hges_gF6QJkQR7fE0oTijaEDEr-H3N7imKAIJoyJQZcDu4wyAiHjmUDooIEwCSTsmbI3aICquuNULOIFmfJakU1BEO5_eo-r16JQgGbF5bjd1RjB9WNwkKm5v6UGbF6AVspmhUKWTuhBd0tYfQRi5WV1EVjj_f3e-3twMxZUBg6xLEBk1e7aFbOAD2bOvN6fppyqFV4kZUalwxKwVO_72C8zcgSgq4kE4.EzrpgkxeTzR09EFMtwcJO4xLPnNgwEWT2AAeb4uYcDY&dib_tag=se&keywords=acer+laptop&qid=1715879737&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-34&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Acer Aspire 7 A715-43G-R83Y, 15.6"" FHD 1920x1080 IPS Laptop, AMD Ryzen 7 5825U, GeForce RTX 3050Ti, 16GB RAM, 1024GB SSD, Windows 11",1099,Acer,A715-43G-R83Y,15.6,_1920 x 1080,AMD Ryzen 7,_2 ryzen_7,_Dedicated,16,1 TB SSD,Windows 11,_50 x 32 x 7.2 cm; 3.38 kg,1,AMD
1715866157-153,https://www.amazon.ca/s?k=hp+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=4&qid=1715865156&rnid=12035759011&ref=sr_pg_2,"15.6"" Laptop (Intel Core i7-8550U, 8GB, 1TB, Windows 10) 15-da0050ca",https://www.amazon.ca/4NJ08UA-ABL-HP-15-da0050ca-Non-Touch/dp/B07FKGL7Q3/ref=sr_1_88?dib=eyJ2IjoiMSJ9.aW6bN3Wsokjjy5Ai_HGZ3bDPiO_n_kschqDo0NO_bmDZ8Jwc2yPd2GRkTsmv10Nb5g1ZZcvoPpjVxuf3H_ITaWCE3Tb6MNkQcfyetQRE7elIbi-Nix0ArgFhmOqK46XJqmMqZQGmB5Heo4WWt9ufes8DyIb2a7NiKf3FhZUCyPN3XkueWa9MzbhtDF2o-K9zn8Lj3rS6dz6CvCD61AytByaw9f_2clpq03ixsB8yj4CATMmpjoG1tNUpfxM9tbqXpZnJej1CkBwed-zZoFT5g1iCBaUmsPYc3o9ZXChWQ04.a6x2s9pefzSw3VfSl1g-VFlwgY7N03D07x1XHq-drT4&dib_tag=se&keywords=hp+laptop&qid=1715866103&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sr=1-88&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"HP 15.6"" Laptop (Intel Core i7-8550U, 8GB, 1TB, Windows 10) 15-da0050ca",897,HP,4NJ08UA#ABL,15.6,_1366 x 768,Intel Core i7,_1.8 GHz core_i7_8550u,_Integrated,8,1 TB SSD,Windows 10,,4,Intel
1715967059-113,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=6&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"VivoBook S 15 OLED BAPE Edition Laptop (2023), 15.6Ó 120Hz Display, Intel Evo Platform, Intel Core i9-13900H CPU, 16GB RAM, 1TB SSD, Windows 11 Home, Midnight Black, K5504VA-DB91-CA-BAPE",https://www.amazon.ca/ASUS-VivoBook-Platform-i9-13900H-K5504VA-DB91-CA-BAPE/dp/B0C5F4KLVH/ref=sr_1_128?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.nhR41DHKgzhEz1wnlE5xBCW0KGSaUJSSoSrh02RO6o9-yhS2wnOi31PISO5ia994frZqBMYtO0pXTxBfY5373J6z61c7LJelrp0GDLaDX_FQ5iuJ7CSbP1NwIT6mGZmxtEAGJjRGIqLLIHuJGhUu-hD5sA5Cgoz0cwQLPVGtsjmGPSzsaVhdo0c9Fn0gNMreuPcv2-zfGJgvJ7IoZKa5vXm2eOuQnezG1Pir-mMsR923UEQQP6g8PlHck0b2reTZ11nLp7yR6lyvk1vLweZc3RqbbT2FYkz4_mOmRLQ7bf4.csp-WXZHvDJExoQ8VDKWjufpBskYOJD8_UxTI5RA8XM&dib_tag=se&keywords=asus+laptop&qid=1715966990&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-128&ufe=app_do%3Aamzn1.fos.a4f9e18d-83e4-4dfa-94d2-717d5a20bf26,"ASUS VivoBook S 15 OLED BAPE Edition Laptop (2023), 15.6Ó 120Hz Display, Intel Evo Platform, Intel Core i9-13900H CPU, 16GB RAM, 1TB SSD, Windows 11 Home, Midnight Black, K5504VA-DB91-CA-BAPE","1,699.00",Asus,ASUS VivoBook S 15 OLED BAPE Edition Laptop (2023),15.6,_1920 x 1080 pixel,Intel Core i9,_2.6 GHz intel_core_i9,_Integrated,4,1 TB SSD,_Windows 11 Home,_57.4 x 32.4 x 18.6 cm; 5.9 kg,14,_Intel
1715966923-79,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=7&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"ROG Flow X16 (2023) Gaming Laptop, 16Ó Nebula Display 16:10 QHD+ 240Hz,100% DCI-P3, GeForce RTX 4050, Intel Core i9-13900H, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, GV601VU-DS91T-CA",https://www.amazon.ca/ASUS-Gaming-Laptop-Nebula-Display/dp/B0BS7B9S6R/ref=sr_1_162?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.pSpDbwhaskeTvJBmKbWq67EndzChG9WYq2qyPq0YEgqKMkFuZi2z5GuscfeqeG4lfy2QtfsFktxKJilTvTNi01eoTX7D9UWaDQc0Voq0sbCFO01I0UVPb0tpwK3CaSWu0Sz4-X1eeOY-2eiGbq1MWnPI-_J-09y5CZHcAOnqICsQ7vi2z_v4efZJTqoBkIbqJS5HeM3k0yI9Kfs2MA68-xWYIkqFhI_n28NSHM3GQ8gsxCbRLkZEiXfBfivKtkV4g29fkgMkgfYfi8Et1HF22grvpmngWq3B16BNpuEdcN8.aF50CrOvWwkMd2Zruz9T6qiQIFmSggmR2Wmz5U4CweM&dib_tag=se&keywords=asus+laptop&qid=1715966890&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-162&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS ROG Flow X16 (2023) Gaming Laptop, 16Ó Nebula Display 16:10 QHD+ 240Hz,100% DCI-P3, GeForce RTX 4050, Intel Core i9-13900H, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, GV601VU-DS91T-CA","2,307.00",Asus,ASUS ROG Flow X16 (2023) Gaming Laptop,16 Inches,_2560 x 1600 pixels,Intel Core i9,_2.6 GHz core_i9,_Dedicated,6,1 TB SSD,_Windows 11 Home,_47 x 33.4 x 9.4 cm; 4.22 kg,14,_Intel
