web-scraper-order,web-scraper-start-url,single,single-href,title,price,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715879519-142,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=5&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook 314 CB314-1H-C66Z Laptop, Intel Celeron N4000 Dual-Core Processor, 4GB Memory, 32GB eMMC",https://www.amazon.ca/Chromebook-CB314-1H-C66Z-Celeron-Dual-Core-Processor/dp/B08D4SGBLW/ref=sr_1_99?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.CqZ5O5z2Rz7aUst8duLBRM-28qXlhb8Do0PzPuOKSOj-cOvKAclUN-nhXTRx66UGbaPz7rGFrgbIdA5ZryndEZf03-KMkilh4Z_HS98MXCVgn4Vx67UezHds1NuzNg9jLj0BaFyCMvZZwB3ofST5ot_kpjCU8QtsOrlEqmcJP4GrGDfoGLgNrd88nTesMvhbzDuQnM6inU0iyHsSdnDpDKj3r3A5wb1VbWgU18-GbV4ZsTFtxMLpXu6KIBbgCJ2IameFwOAUFwc-RA_qclGQ4NU7Mo7luishRBLQiAJMZho.eteyJZA38tCJLkFvjLnx9XMxjTUBv8xcIi0msnXo0mA&dib_tag=se&keywords=acer+laptop&qid=1715879418&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-99,"Acer Chromebook 314 CB314-1H-C66Z Laptop, Intel Celeron N4000 Dual-Core Processor, 4GB Memory, 32GB eMMC",238,Acer,Chromebook,_14 Inches,_1366 x 768 pixel,Celeron N4000,,_Integrated,_4 GB,_32 GB,_Chrome OS,,_2,_Intel
1715879750-194,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook 311, 11.6in. Display (1366 x 768), Intel Celeron N4000 Processor, 4GB RAM, 32GB eMMC Storage, Chrome OS, Silver - CB311-9H-C29L",https://www.amazon.ca/Acer-Chromebook-Screen-Chrome-CB311-9H-C29L/dp/B0886W3LTR/ref=sr_1_47?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.Np7XGK6yZMI6bFrqjIxjg_zAwc-T2nmDLEzRnR_93AXdfKELTxvdz42u7faREswhmNQimY8Nx-Hges_gF6QJkQR7fE0oTijaEDEr-H3N7imKAIJoyJQZcDu4wyAiHjmUDooIEwCSTsmbI3aICquuNULOIFmfJakU1BEO5_eo-r16JQgGbF5bjd1RjB9WNwkKm5v6UGbF6AVspmhUKWTuhBd0tYfQRi5WV1EVjj_f3e-3twMxZUBg6xLEBk1e7aFbOAD2bOvN6fppyqFV4kZUalwxKwVO_72C8zcgSgq4kE4.EzrpgkxeTzR09EFMtwcJO4xLPnNgwEWT2AAeb4uYcDY&dib_tag=se&keywords=acer+laptop&qid=1715879737&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-47,"Acer Chromebook 311, 11.6in. Display (1366 x 768), Intel Celeron N4000 Processor, 4GB RAM, 32GB eMMC Storage, Chrome OS, Silver - CB311-9H-C29L",249,Acer,Chromebook 311,_11.6 Inches,_1366 x 768 pixels,Celeron N,_1.1 GHz celeron_n,_Integrated,_4 GB LPDDR4,_32 GB Embedded MultiMediaCard,_Chrome OS,,_2,_Intel
1715879869-217,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook 315 15.6"" HD Laptop - Intel Celeron N4020, 4GB RAM, 64GB eMMC, Chrome OS, with Protective Sleeve - Silver (CB315-3H-C69K)",https://www.amazon.ca/Acer-Chromebook-315-15-6-Laptop/dp/B0CMVZTCDR/ref=sr_1_24_mod_primary_new?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.8fT3zPqhaDVjT5V4_yPtT3xaa-Ar1elxfckiwzRTil5QqAmav2jaX6l4ZhOqFaIwWPh9x59u7loqdKAzCL7g9K31bIk3ziUmlsH5FT5ZUfpF3fRag84oG4si85NCJ--wW0HROS_uNCRiFIR4VHge0Yn5aDejFo2d7thRmzRbK_XI-tXq-cSuXQyjNs6AxvLr1a__CWSoAc1l2x_qAptZ8ioR9fgkso3TN0smIPRZYeSmSr-OFSbb3pTsX8IhZ-fHs40p4maXxL66434HY4hiS9cbDNXINZ3x4kSXgxTxd5Y.2kpxPKyPxans-EwP1D8MOtWjMvCP3wwvqd27us5nqUA&dib_tag=se&keywords=acer+laptop&qid=1715879857&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=acer+laptop%2Celectronics%2C150&sr=1-24,"Acer Chromebook 315 15.6"" HD Laptop - Intel Celeron N4020, 4GB RAM, 64GB eMMC, Chrome OS, with Protective Sleeve - Silver (CB315-3H-C69K)",257,Acer,,_15.6 Inches,_1366 x 768 pixels,,_1.1 GHz,,_4 GB,_64 GB,_Chrome OS,,_2,_Intel
1715879988-240,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook 315, 15.6"" HD Widescreen, Intel Celeron N4020, 4GB LPDDR4, 64GB eMMC, Chrome OS, CB315-3H-C0UU Silver",https://www.amazon.ca/Acer-Chromebook-Widescreen-Celeron-CB315-3H-C0UU/dp/B09Z72BK8K/ref=sr_1_1?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.8fT3zPqhaDVjT5V4_yPtT3xaa-Ar1elxfckiwzRTil5QqAmav2jaX6l4ZhOqFaIwWPh9x59u7loqdKAzCL7g9K31bIk3ziUmlsH5FT5ZUfpF3fRag84oG4si85NCJ--wW0HROS_uNCRiFIR4VHge0Yn5aDejFo2d7thRmzRbK_XI-tXq-cSuXQyjNs6AxvLr1a__CWSoAc1l2x_qAptZ8ioR9fgkso3TN0smIPRZYeSmSr-OFSbb3pTsX8IhZ-fHs40p4maXxL66434HY4hiS9cbDNXINZ3x4kSXgxTxd5Y.2kpxPKyPxans-EwP1D8MOtWjMvCP3wwvqd27us5nqUA&dib_tag=se&keywords=acer+laptop&qid=1715879857&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-1,"Acer Chromebook 315, 15.6"" HD Widescreen, Intel Celeron N4020, 4GB LPDDR4, 64GB eMMC, Chrome OS, CB315-3H-C0UU Silver",269,Acer,Chromebook CB315-3H,_15.6 Inches,_1366 x 768 pixel,Celeron N4020,_1.1 GHz celeron_n4020,_Integrated,_4 GB LPDDR4,_64 GB Emmc,_Chrome OS,,_2,_Intel
1715879695-183,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=3&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Newest 15.6"" HD Chromebook/Intel Dual Core Celeron N4000 4M Cache Up to 2.6 GHZ Processor /4G RAM/32G eMMC/USB 3.1/USB TYPE-C/INTEL UHD 600 GRAPHIC/WIFI AC/BLUETOOTH 5.0/Wide View HD CAM/ Micro SD Reader/Long Battery Life! One Year Manufacturer Warranty!",https://www.amazon.ca/Acer-Chromebook-Processor-BLUETOOTH-Manufacturer/dp/B08GF7CBG9/ref=sr_1_58?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.t4An7ejmKQI4VYELEDN6Q538uJNVWTnSY54zYw2vGuJdiEGJrvCxvAqjjRPFn7ZnOnNNqtGSiqdZaMuFGy5H8z9gZpM3k5jA70HEmvXQmt7OOmtq6cK-CMrWA3o_WgdBhrPKf1Y1UAk-4u3mLoUzboMJP-YX_8Vpo_u7u4tIGKy5mdvKKlc7ZXIyvgNszPWU4GBGOFtDIqb349GHg9xlfeV1cjZRhma6AwmdPYce1CAauR4u_qokLQ95x2J2CrqygOqxJtlrsfRofYLkT1l9wy8iWmVDumxX31oF51sGvHU.sPt-0VZ1B6gTg5Ubj2u1SPpbD28y8WDJUOp1fl8lxWQ&dib_tag=se&keywords=acer+laptop&qid=1715879630&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-58,"Acer Newest 15.6"" HD Chromebook/Intel Dual Core Celeron N4000 4M Cache Up to 2.6 GHZ Processor /4G RAM/32G eMMC/USB 3.1/USB TYPE-C/INTEL UHD 600 GRAPHIC/WIFI AC/BLUETOOTH 5.0/Wide View HD CAM/ Micro SD Reader/Long Battery Life! One Year Manufacturer Warranty!",279,Acer,Acer Chromebook,_156 Inches,_1366 x 768 pixels,Celeron,_2.6 GHz celeron,_Integrated,_4 GB LPDDR4,_32 GB SSD,_Chrome OS,,_2,_Intel
1715879976-238,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook 3, 14"" Chromebook, MediaTek MT8183, Mali-G72 MP3, 4GB RAM, 64GB, Chrome Os Silver",https://www.amazon.ca/Acer-Chromebook-MediaTek-MT8183-Mali-G72/dp/B0BTJF66ZS/ref=sr_1_3?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.8fT3zPqhaDVjT5V4_yPtT3xaa-Ar1elxfckiwzRTil5QqAmav2jaX6l4ZhOqFaIwWPh9x59u7loqdKAzCL7g9K31bIk3ziUmlsH5FT5ZUfpF3fRag84oG4si85NCJ--wW0HROS_uNCRiFIR4VHge0Yn5aDejFo2d7thRmzRbK_XI-tXq-cSuXQyjNs6AxvLr1a__CWSoAc1l2x_qAptZ8ioR9fgkso3TN0smIPRZYeSmSr-OFSbb3pTsX8IhZ-fHs40p4maXxL66434HY4hiS9cbDNXINZ3x4kSXgxTxd5Y.2kpxPKyPxans-EwP1D8MOtWjMvCP3wwvqd27us5nqUA&dib_tag=se&keywords=acer+laptop&qid=1715879857&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-3,"Acer Chromebook 3, 14"" Chromebook, MediaTek MT8183, Mali-G72 MP3, 4GB RAM, 64GB, Chrome Os Silver",279,Acer,CB314-2H-K3NE,_14 Inches,_1280 x 720 pixels,MediaTek MT8183,_1.6 GHz mediatek_mt8183,_Integrated,_4 GB LPDDR4X,_64 GB Emmc,_Chrome OS,_46.4 x 29.6 x 7.2 cm; 3.2 kg,_8,_MediaTek
1715879617-165,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook 315, CB315-3H-C2C3, N4000, 4GB, 32GB Emmc, P",https://www.amazon.ca/Acer-Chromebook-Webcam-Protective-NX-HKBAA-002/dp/B088FX4LSP/ref=sr_1_76?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.tWsM95VMKkN_YtYWBTw9SbQY7w1YAT8zWZhQcZMekM9ylKQAH5Nt4ibqxDx5R9zq9beqT1bhot50QEf8pf3mU6BsHj_0P0qvWrQCQd-A9dUhixtld9P-YR7uRGB79RRqHBIyX4DfFMUzksoyaqx3W5GA1Hjxn3TAtfOTGR50eTaU0AjmYnQxbUaNXM4ftVQ1EfV0PWf8pu_LmOJMdLBc7DFLIaabF3NXKoSn4hd7Ob7eHVXfFgbr5craqxPIzT-ZFqbh0ul7Sy0ED0qJSvB0yjakwrjKy5umg5wvHei3qtE.hi-Opoi06oUatzi2YxmxSPncGKGBnyrcCOCBrNzgThA&dib_tag=se&keywords=acer+laptop&qid=1715879527&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-76,"Acer Chromebook 315, CB315-3H-C2C3, N4000, 4GB, 32GB Emmc, P",289,Acer,NX.HKBAA.002,_15.6 Inches,_1366 x 768 pixels,6X86MX,_1.1 GHz 6x86mx,_Integrated,_4 GB LPDDR4,_32 GB Emmc,_Chrome OS,,_2,_Intel
1715879649-172,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=3&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",https://www.amazon.ca/Acer-Aspire-Celeron-Windows-A115-31-C2Y3/dp/B086XXW87C/ref=sr_1_69?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.t4An7ejmKQI4VYELEDN6Q538uJNVWTnSY54zYw2vGuJdiEGJrvCxvAqjjRPFn7ZnOnNNqtGSiqdZaMuFGy5H8z9gZpM3k5jA70HEmvXQmt7OOmtq6cK-CMrWA3o_WgdBhrPKf1Y1UAk-4u3mLoUzboMJP-YX_8Vpo_u7u4tIGKy5mdvKKlc7ZXIyvgNszPWU4GBGOFtDIqb349GHg9xlfeV1cjZRhma6AwmdPYce1CAauR4u_qokLQ95x2J2CrqygOqxJtlrsfRofYLkT1l9wy8iWmVDumxX31oF51sGvHU.sPt-0VZ1B6gTg5Ubj2u1SPpbD28y8WDJUOp1fl8lxWQ&dib_tag=se&keywords=acer+laptop&qid=1715879630&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-69,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",290,Acer,Aspire 1,_15.6 Inches,_1920 x 1080 pixels,Celeron N,_1.1 GHz celeron_n,_Integrated,_4 GB DDR4,_64 GB Embedded MultiMediaCard,_Windows 10 S,,_2,_Intel
1715879622-166,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook, 11"" IPS Touchscreen Laptop, 4GB RAM, 32GB eMMC, Intel¨ Celeron¨ N4020 Processor, ChromeOS, CB311-9H-C6QW, Silver",https://www.amazon.ca/Acer-Chromebook-Touchscreen-Processor-CB311-9H-C6QW/dp/B0C4FTZDB7/ref=sr_1_75?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.tWsM95VMKkN_YtYWBTw9SbQY7w1YAT8zWZhQcZMekM9ylKQAH5Nt4ibqxDx5R9zq9beqT1bhot50QEf8pf3mU6BsHj_0P0qvWrQCQd-A9dUhixtld9P-YR7uRGB79RRqHBIyX4DfFMUzksoyaqx3W5GA1Hjxn3TAtfOTGR50eTaU0AjmYnQxbUaNXM4ftVQ1EfV0PWf8pu_LmOJMdLBc7DFLIaabF3NXKoSn4hd7Ob7eHVXfFgbr5craqxPIzT-ZFqbh0ul7Sy0ED0qJSvB0yjakwrjKy5umg5wvHei3qtE.hi-Opoi06oUatzi2YxmxSPncGKGBnyrcCOCBrNzgThA&dib_tag=se&keywords=acer+laptop&qid=1715879527&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-75,"Acer Chromebook, 11"" IPS Touchscreen Laptop, 4GB RAM, 32GB eMMC, Intel¨ Celeron¨ N4020 Processor, ChromeOS, CB311-9H-C6QW, Silver",299,Acer,CB311-9H-C6QW,_11.6,_1920 x 1080 pixels,Celeron N4020,_1.1 celeron_n4020,_Integrated,_4 GB LPDDR4,_32 GB 32GB eMMC,_Chrome OS,,_1,_Intel
1715879951-233,https://www.amazon.ca/s?k=acer+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=SCLHH2QTZTNA&qid=1715858826&rnid=12035759011&sprefix=acer+laptop%2Celectronics%2C150&ref=sr_pg_3,"Chromebook 314 14"" FHD IPS Touchscreen Laptop, Intel Celeron N4020, 4GB LPDDR4 RAM, 64GB eMMC, Intel UHD Graphics 600, Wi-Fi 5, 720p HD Camera, Chrome OS, Charcoal Black, 32GB Hotface USB Card",https://www.amazon.ca/Acer-Chromebook-314-Touchscreen-Graphics/dp/B0CQ1YR43Q/ref=sr_1_8?crid=SCLHH2QTZTNA&dib=eyJ2IjoiMSJ9.8fT3zPqhaDVjT5V4_yPtT3xaa-Ar1elxfckiwzRTil5QqAmav2jaX6l4ZhOqFaIwWPh9x59u7loqdKAzCL7g9K31bIk3ziUmlsH5FT5ZUfpF3fRag84oG4si85NCJ--wW0HROS_uNCRiFIR4VHge0Yn5aDejFo2d7thRmzRbK_XI-tXq-cSuXQyjNs6AxvLr1a__CWSoAc1l2x_qAptZ8ioR9fgkso3TN0smIPRZYeSmSr-OFSbb3pTsX8IhZ-fHs40p4maXxL66434HY4hiS9cbDNXINZ3x4kSXgxTxd5Y.2kpxPKyPxans-EwP1D8MOtWjMvCP3wwvqd27us5nqUA&dib_tag=se&keywords=acer+laptop&qid=1715879857&refinements=p_36%3A15000-%2Cp_89%3AAcer%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=acer+laptop%2Celectronics%2C150&sr=1-8,"Acer Chromebook 314 14"" FHD IPS Touchscreen Laptop, Intel Celeron N4020, 4GB LPDDR4 RAM, 64GB eMMC, Intel UHD Graphics 600, Wi-Fi 5, 720p HD Camera, Chrome OS, Charcoal Black, 32GB Hotface USB Card",299,Acer,Chromebook,_14 Inches,_1920 x 1080 pixel,Celeron N4020,_1.1 GHz celeron_n4020,_Integrated,_4 GB LPDDR4,_64 GB Emmc,_Chrome OS,_48.7 x 32 x 9 cm; 1.27 kg,_2,_Intel
