web-scraper-order,web-scraper-start-url,single,single-href,title,price,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715885370-1,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2023 MacBook Pro Laptop M3 Pro chip with 12_core CPU, 18_core GPU: 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Space Black, French",https://www.amazon.ca/Apple-MacBook-Laptop-12%E2%80%91core-18%E2%80%91core/dp/B0CM5JVMQT/ref=sr_1_96?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-96,"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12_core CPU, 18_core GPU: 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Space Black, French","3,920.00",Apple,MacBook Pro,14.2 Inches,"14.2-inch (diagonal) Liquid Retina XDR display; 3024-by-1964 native resolution at 254 pixels per inch; 1,000,000:1 contrast ratio; XDR brightness: 1000 nits sustained full-screen; 1600 nits peak (HDR content only); SDR brightness: 600 nits; 1 billion colors; Wide color (P3); True Tone technology; ProMotion technology for adaptive refresh rates up to 120Hz.",M3 Pro,12,18,18 GB,1 TB,Mac OS,1.62 kg (3.57 pounds),,Apple
1715885378-3,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Silver, French Backlit Keyboard",https://www.amazon.ca/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX24MKLB/ref=sr_1_94?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-94,"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Silver, French Backlit Keyboard","1,999.00",Apple,MacBook Air,15.3 Inches,15.3-inch (diagonal) LED-backlit display with IPS technology 2880-by-1864 native resolution at 224 pixels per inch; 500 nits brightness; 1 billion colors; Wide color (P3); True Tone technology,M3,8,10,8 GB,512 GB,Mac OS,1.51 kg (3.3 pounds),,Apple
1715885385-5,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Space Grey, French Backlit Keyboard",https://www.amazon.ca/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX23JR65/ref=sr_1_92?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-92,"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Space Grey, French Backlit Keyboard","1,999.00",Apple,MacBook Air,15.3 Inches,15.3-inch (diagonal) LED-backlit display with IPS technology 2880-by-1864 native resolution at 224 pixels per inch; 500 nits brightness; 1 billion colors; Wide color (P3); True Tone technology,M3,8,10,8 GB,512 GB,Mac OS,1.51 kg (3.3 pounds),,Apple
1715885388-6,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Space Grey, French Backlit Keyboard",https://www.amazon.ca/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX25YKGB/ref=sr_1_91?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-91,"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Space Grey, French Backlit Keyboard","1,749.00",Apple,MacBook Air,15.3 Inches,15.3-inch (diagonal) LED-backlit display with IPS technology 2880-by-1864 native resolution at 224 pixels per inch; 500 nits brightness; 1 billion colors; Wide color (P3); True Tone technology,M3,8,10,8 GB,256 GB,Mac OS,1.51 kg (3.3 pounds),,Apple
1715885394-8,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2023 MacBook Pro Laptop M3 chip with 8_core CPU, 10_core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Silver, French",https://www.amazon.ca/Apple-MacBook-Laptop-8%E2%80%91core-10%E2%80%91core/dp/B0CM5HP9FG/ref=sr_1_89?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-89,"Apple 2023 MacBook Pro Laptop M3 chip with 8_core CPU, 10_core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Silver, French","2,349.00",Apple,MacBook Pro,14.2 Inches,"14.2-inch (diagonal) Liquid Retina XDR display; 3024-by-1964 native resolution at 254 pixels per inch; 1,000,000:1 contrast ratio; XDR brightness: 1000 nits sustained full-screen; 1600 nits peak (HDR content only); SDR brightness: 600 nits; 1 billion colors; Wide color (P3); True Tone technology; ProMotion technology for adaptive refresh rates up to 120Hz.",M3 ,8,10,8 GB,1 TB,Mac OS,1.55 kg (3.4 pounds),,Apple
1715885398-9,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Starlight, French Backlit Keyboard",https://www.amazon.ca/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX2581XN/ref=sr_1_88?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-88,"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Starlight, French Backlit Keyboard","1,699.00",Apple,MacBook Air,13.6 Inches,"13.6-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1664 native resolution at 224 pixels per inch; 500 nits brightness; 1 billion colors, Wide color (P3), True Tone technology",M3 ,8,10,8 GB,512 GB,Mac OS,1.24 kg (2.7 pounds),,Apple
1715885401-10,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2023 MacBook Pro Laptop M3 Max chip with 16_core CPU, 40_core GPU: 16.2-inch Liquid Retina XDR Display, 48GB Unified Memory, 1 TB SSD Storage. Works with iPhone/iPad; Space Black, French",https://www.amazon.ca/Apple-MacBook-Laptop-16%E2%80%91core-40%E2%80%91core/dp/B0CM5BL462/ref=sr_1_87?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-87,"Apple 2023 MacBook Pro Laptop M3 Max chip with 16_core CPU, 40_core GPU: 16.2-inch Liquid Retina XDR Display, 48GB Unified Memory, 1 TB SSD Storage. Works with iPhone/iPad; Space Black, French","5,299.00",Apple,MacBook Pro,16.2 Inches,"16.2-inch (diagonal) Liquid Retina XDR display; 3456-by-2234 native resolution at 254 pixels per inch; 1,000,000:1 contrast ratio; XDR brightness: 1000 nits sustained full-screen; 1600 nits peak (HDR content only); SDR brightness: 600 nits; 1 billion colors; Wide color (P3); True Tone technology; ProMotion technology for adaptive refresh rates up to 120Hz.",M3 Max,16,30,48 GB,1 TB,Mac OS,2.16 kg (4.75 pounds),,Apple
1715885408-12,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Silver, French Backlit Keyboard",https://www.amazon.ca/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX23BN2G/ref=sr_1_85?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-85,"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Silver, French Backlit Keyboard","1,999.00",Apple,MacBook Air,15.3 Inches,15.3-inch (diagonal) LED-backlit display with IPS technology 2880-by-1864 native resolution at 224 pixels per inch; 500 nits brightness; 1 billion colors; Wide color (P3); True Tone technology,M3,8,10,8 GB,256 GB,Mac OS,1.51 kg (3.3 pounds),,Apple
1715885421-16,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2023 MacBook Pro Laptop, Apple M2 Pro chip, 12_core CPU and 19_core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works, iPhone/iPad; Silver, English",https://www.amazon.ca/Apple-MacBook-Laptop-12%E2%80%91core-19%E2%80%91core/dp/B0BSHF7LLL/ref=sr_1_81?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-81,"Apple 2023 MacBook Pro Laptop, Apple M2 Pro chip, 12_core CPU and 19_core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works, iPhone/iPad; Silver, English","3,750.00",Apple,MacBook Pro,16.2 Inches,"16.2-inch (diagonal) mini-LED backlit display,Liquid Retina XDR display,3456 by 2234 pixels,Up to 1000 nits sustained (full-screen) brightness,1600 nits peak brightness,Wide colour(P3),True Tone technology,ProMotion technology for adaptive refresh rates up to 120 Hz",M2 Pro,12,19,16 GB,512 GB,Mac OS,1.51 kg (3.3 pounds),,Apple
1715885435-20,https://www.amazon.ca/s?k=apple+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AApple%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2MAVQTV2GOL62&qid=1715884522&rnid=11192162011&sprefix=apple+laptop%2Celectronics%2C135&ref=sr_pg_4,"2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Space Grey, French Backlit Keyboard",https://www.amazon.ca/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX241FJ7/ref=sr_1_77?crid=2MAVQTV2GOL62&dib=eyJ2IjoiMSJ9.IU0SZIdL84oXI2Dowbly3MEmSExrhR9lyFMleCyrlXikHs-94zHGLtxTVWFZgNR65x6YGaLd09Msm-Cpf0fHF61C1XD275t7tt9rS7lZwUduhVjCE6l1GOUcWlvf5g56NjPaIfWlIZ4jqNv-YG-fXAOQ37aH0uTnw2rPRd3jfJhEWM2dAwBVBDrxwNNT7qNfZocJYkisqyB1J4M-Uu4UHKsczQ-YiFh60mCIJH3iKKR0H5XY-VRfS5EGVXUo9LiCnOympgxVytbFbPhnTIOz-uA-gv9gPzsLlOpJJGCJL1k.bXJOMQ3tAh-ymGl-ey0P1R6ACUJr1No6vqnpZ2EvxYc&dib_tag=se&keywords=apple+laptop&qid=1715885364&refinements=p_89%3AApple%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=apple+laptop%2Celectronics%2C135&sr=1-77,"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Space Grey, French Backlit Keyboard","1,699.00",Apple,MacBook Air,13.6 Inches,"13.6-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1664 native resolution at 224 pixels per inch; 500 nits brightness; 1 billion colors, Wide color (P3), True Tone technology",M3,8,10,8 GB,512 GB,Mac OS,1.24 kg (2.7 pounds),,Apple
