web-scraper-order,web-scraper-start-url,single,single-href,title,price,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715878350-200,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"2019 Dell Latitude E7450 14"" FHD Business Laptop Computer, Intel Core i5-5300U up to 2.9GHz, 16GB RAM, 1TB SSD, AC WiFi, Bluetooth 4.0, USB 3.0, HDMI, Windows 10 Professional (Certified Refuribsed)",https://www.amazon.ca/Dell-E7450-Bluetooth-Professional-Refuribsed/dp/B07QWNNSMQ/ref=sr_1_46?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.akwYa2F2SMFjMQlzjcOB1dXxxJrA-eJ_oEd9qp9HLoXDsOanmDEzRZ1JzJh43Yll6-Uk1qfBoIUzHbWCkliYIuYwLSZk5pZcUANm2yUI54refY-Q9A9pGLzbICzx0S25Usw9sl_p8rpsip0KLmGTwajANEI3pXF4iVs98FP8z1SKHJGUarbJC7JzjuiUAaKg5YtpVfua1-MrQ1CffKKuugkZmnvdhE2gAADH_ar8JZpa2ZHPn4e8u2efMSpMlA9O9o6vr1K7iEkruD2bpf3tMblTPbIVTH6YtQ0pMnCiEJo.PsHlPONlP8GTfqPnLJwxYx6h18gSl8Zfqyh3cEqB7nU&dib_tag=se&keywords=dell+laptop&qid=1715878332&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-46,"2019 Dell Latitude E7450 14"" FHD Business Laptop Computer, Intel Core i5-5300U up to 2.9GHz, 16GB RAM, 1TB SSD, AC WiFi, Bluetooth 4.0, USB 3.0, HDMI, Windows 10 Professional (Certified Refuribsed)",379,Dell,Latitude,_14 Inches,_1920x1080,Core i5,_2.3 GHz core_i5,_Dedicated,_16 GB DDR3L,_1 TB SSD,_Windows 10 Pro,,_2,_Intel
1715878151-158,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"Business Inspiron 3000 3520 15.6"" Laptop, Intel Core i3-1215U Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Windows 11 Home (8GB RAM 256GB SSD)",https://www.amazon.ca/Dell-Business-Inspiron-3520-Processor/dp/B0CKGLWMCH/ref=sr_1_88?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.6YXWE2ZwOlf_tzfE0XGTAAYcbTN7lsu-S_STJxV7V4SFR6df6f7uZo-ZGtNWaZsB_BTuspGjBkR3WyDYUMPa0pdvT77cAe_Zc2sWJvd9nMBZNbG4e2iJCX4lSjFqxC3Jxsz6gD6qkQx4kbtiFtfXKCPfIaD0aVHGSu64xFCuc8RngWw5MhqaICLN_kQl6Vju-WwXiGQubPmewkaa-Gx9e_7iRHDJV5SE6---x6bNfqbG6RENYTSXOSsC4vlzzyrX-1ubyc9-X4zo4xGKXGrt2FqKKGu333a_GUE7t-AV0d0.IcN6jLiS-VDYFtHWFaVeh-Cf2knx8RMdSxXchnsVJ7I&dib_tag=se&keywords=dell+laptop&qid=1715878110&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-88,"Dell Business Inspiron 3000 3520 15.6"" Laptop, Intel Core i3-1215U Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Windows 11 Home (8GB RAM 256GB SSD)",429,Dell,3000,_15.6 Inches,_1920 x 1080 pixels,Core i3,_core_i3,_Integrated,_8 GB DDR4,_256 GB SSD,_Windows 11 Home,,_6,_Intel
1715878565-244,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"Inspiron 3520 15.6"" FHD Laptop - Intel Core i3-1215U, 8GB RAM, 256GB SSD, Windows 11 - Carbon Black",https://www.amazon.ca/Dell-Inspiron-3520-15-6-Laptop/dp/B0BBLPW2CS/ref=sr_1_2?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.M128jd4lcGQiPCRhgCiGHFafm7448_fpXgXfCq1OTzXYoLccm8jcAsjMGDwm-VfuFh-VHS7H9WoEfXNGqi9TkFDCesfwdMKHGfvcUUjm0veAC1Cnh2VO_YFfbuVHokGTT519-JySZv6iv1z_k5GLQVdEzMoyUOSRwBRnLFGYlZymtiQRre02xo78JRMf67GbOABnMocK8S91qLFto6yzfDqjS5483wmCsWHNqujfJMxZbG7szxScEJpGAhTzEHG8_wRu4Qy76OkLajb5bHRYx_jMgewyHnrSb2iZ4Zxl5TI.9N89N-RoyX3rDVBhFjrMxFr8wPnKErsoC-eGqliPG2g&dib_tag=se&keywords=dell+laptop&qid=1715878453&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-2,"Dell Inspiron 3520 15.6"" FHD Laptop - Intel Core i3-1215U, 8GB RAM, 256GB SSD, Windows 11 - Carbon Black",449,Dell,Dell Inspiron 3520,_15.6 Inches,_1920 x 1080 pixels,Core i3,_3.3 GHz core_i3,_Integrated,_DDR4,_256 GB SSD,_Windows 11,_43.18 x 35.56 x 7.62 cm; 1.67 kg,_6,_Intel
1715877782-73,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=7&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"Inspiron 15.6"" FHD Business Laptop, Intel Core i3-1215U, 8GB DDR4 RAM, 256GB PCIe SSD, Intel UHD Graphics, Numeric Keypad, Webcam, Wi-Fi 6, Bluetooth, Black, Win 11 Pro",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo5MTI4NzMyMzI4MTczMjY6MTcxNTg3Nzc3NDpzcF9idGY6MzAwMTE1MDA4MjU3OTAyOjowOjo&url=%2FDell-Inspiron-15-6-Business-Bluetooth%2Fdp%2FB07WH3PK4L%2Fref%3Dsr_1_174_sspa%3Fcrid%3D2CNL7M5IMEKYR%26dib%3DeyJ2IjoiMSJ9.2I5PDQO_MvKY7ZukKMOAQtW2Cx7zrm0PbBUtb0T9Avf7TO1PU6gk0cAi0p9SdoGOPJeINN4Hio-iNW7ncXO02O5PnMIdKd9fj3SLmYACsOPa95XGi2eGV0NBdWNcPnF9ibmFcuZ0ch4eIsMCGfvLfnnM78-wxfoMXAKnlBn2V2FhT0YVBq7IeB0MZwFNN-P_u9TJOo5KdargCPZR5ElgCH8elz-x5nchLgQRo-4tzazeYeWb8AH1Vvk09cLTWTk5ibJJckoWfQ-GXfZqHmL9aGGsiRhUYU9z_5uRLS5AYuw.jt1m-gV6ItyGHbZ0Q9MutVvhA6KeaOkGc4cLNR4dx2o%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1715877774%26refinements%3Dp_36%253A15000-%252Cp_89%253ADell%252Cp_n_condition-type%253A11192164011%26rnid%3D12035759011%26s%3Delectronics%26sprefix%3Ddell%2Blaptop%252Celectronics%252C109%26sr%3D1-174-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA2R87W6XPBZ1J4,"Dell Inspiron 15.6"" FHD Business Laptop, Intel Core i3-1215U, 8GB DDR4 RAM, 256GB PCIe SSD, Intel UHD Graphics, Numeric Keypad, Webcam, Wi-Fi 6, Bluetooth, Black, Win 11 Pro",469,Dell,Dell Inspiron,_15.6 Inches,_1920 x 1080 pixels,Core i3,_1.2 GHz core_i3,_Integrated,_16 GB DDR4,_256 GB SSD,_Windows 11 Pro,_49.29 x 32.6 x 7.5 cm; 2.59 kg,_6,_Intel
1715878570-245,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"Inspiron 15.6"" FHD Business Laptop, Intel Core i3-1215U, 8GB DDR4 RAM, 256GB PCIe SSD, Intel UHD Graphics, Numeric Keypad, Webcam, Wi-Fi 6, Bluetooth, Black, Win 11 Pro",https://www.amazon.ca/Dell-Inspiron-15-6-Business-Bluetooth/dp/B07WH3PK4L/ref=sr_1_1?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.M128jd4lcGQiPCRhgCiGHFafm7448_fpXgXfCq1OTzXYoLccm8jcAsjMGDwm-VfuFh-VHS7H9WoEfXNGqi9TkFDCesfwdMKHGfvcUUjm0veAC1Cnh2VO_YFfbuVHokGTT519-JySZv6iv1z_k5GLQVdEzMoyUOSRwBRnLFGYlZymtiQRre02xo78JRMf67GbOABnMocK8S91qLFto6yzfDqjS5483wmCsWHNqujfJMxZbG7szxScEJpGAhTzEHG8_wRu4Qy76OkLajb5bHRYx_jMgewyHnrSb2iZ4Zxl5TI.9N89N-RoyX3rDVBhFjrMxFr8wPnKErsoC-eGqliPG2g&dib_tag=se&keywords=dell+laptop&qid=1715878453&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-1,"Dell Inspiron 15.6"" FHD Business Laptop, Intel Core i3-1215U, 8GB DDR4 RAM, 256GB PCIe SSD, Intel UHD Graphics, Numeric Keypad, Webcam, Wi-Fi 6, Bluetooth, Black, Win 11 Pro",469,Dell,Dell Inspiron,_15.6 Inches,_1920 x 1080 pixels,Core i3,_1.2 GHz core_i3,_Integrated,_16 GB DDR4,_256 GB SSD,_Windows 11 Pro,_49.29 x 32.6 x 7.5 cm; 2.59 kg,_6,_Intel
1715877928-112,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=6&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"5327964 Latitude 5590 Business Notebook, Intel:I5-8350U/CI5, 1.7 GHz, 512 GB, INTEL-UHD620/IGP, Windows 10 Pro 64 Bit, Black, 15.6"" (Refurbished)",https://www.amazon.ca/Dell-5327964-Latitude-Business-Notebook/dp/B07H7RKQ1F/ref=sr_1_134?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.iYBK0QsxtM1gxgWCHqRANQvljZCWlwGWsgochBTpn51eQ-SkOukuPlnXejiUtujSV9SkFg0N6sci1Jm5MEl2jKwnPJIjPUm1xQPSG7F6sEEH-jVvKnr8U8GZvXeZzHz-8MlKEM4xBcKJFOFsr7b1EjFjQDfdnOj-wQ6QN1t39a00nc5n2LhY9iO15hedkkXqSL1YKOg8ljCB9VPtd2P2ZaeXx4zYDgjuv3Svy6b0Eu6NW5arFtQX4vrtN-nBf9m6AQYE1aMBP7bKM41xf4zqIAkSGkatHM3RveaEG80nZqs.YArCz0zbr8zlEqxIjHkMDwpXZvaViYuWcUpVCZB1elw&dib_tag=se&keywords=dell+laptop&qid=1715877884&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-134&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Dell 5327964 Latitude 5590 Business Notebook, Intel:I5-8350U/CI5, 1.7 GHz, 512 GB, INTEL-UHD620/IGP, Windows 10 Pro 64 Bit, Black, 15.6"" (Refurbished)",522,Dell,5327964,_15 Inches,_1920 x 1080 pixel,,,_INTEL-UHD620/IGP,_512 GB DDR4,_512 GB,_Windows 10 Pro 64 Bit,_53.34 x 43.18 x 10.16 cm; 2.27 kg,,_Intel
1715878101-147,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=5&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,Inspiron 15 3000 3520 12th Gen Intel i5-1235U 256GB SSD 8GB RAM 15.6-inch 1920x1080 FHD Laptop Windows 11 Home,https://www.amazon.ca/Dell-Inspiron-3520-15-6-inch-1920x1080/dp/B0CKFQ8GG1/ref=sr_1_99?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.TIjsVLX68vTRzkJcpgqbcMokgqN7O9OXTsmUYSnIDGtxIZLDccCInhrFIdopxFMALfOUH2n-ZbRIN1gKQN9pZfpwvOmn5wo6YbptIEAAweaU2DRP9WWO8BKxP2N5uRI1qZUZNgmF2U-2gNAO2VYmSEpmIkRxF5lJcknAuD6ur0R2u4r7IPCW0lh16f_MX75HnseRX3R4-2Q72XwBx9QXyJLyOPVHWaqrtozhnwoO7dql4G389KgbAaj4vV1PRb1mzuTA7Mk7jWwvhx2aZ3GqJcmYK2-94qPvrJIJTyangAc.P2UKDj5mrgi7WGGN1S6F7h7gQICCZivzwDW8CZPV16M&dib_tag=se&keywords=dell+laptop&qid=1715877982&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-99&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,Dell Inspiron 15 3000 3520 12th Gen Intel i5-1235U 256GB SSD 8GB RAM 15.6-inch 1920x1080 FHD Laptop Windows 11 Home,558,Dell,Inspiron,_15.6 Inches,_1920 x 1080 pixels,Core i5,_1.3 GHz core_i5,_Integrated,_8 GB DDR4,_256 GB SSD,_Windows 11 Home,,_10,_Intel
1715878551-241,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"Inspiron 15 3535 Laptop - 15.6-inch FHD (1920x1080) 60Hz Touchscreen Display, AMD Ryzen 5-7530U, 8GB DDR4 RAM, 512GB SSD, AMD Radeon Graphics, Windows 11 Home - Carbon Black",https://www.amazon.ca/Dell-Inspiron-3535-Laptop-Touchscreen/dp/B0CJPJD6KG/ref=sr_1_5?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.M128jd4lcGQiPCRhgCiGHFafm7448_fpXgXfCq1OTzXYoLccm8jcAsjMGDwm-VfuFh-VHS7H9WoEfXNGqi9TkFDCesfwdMKHGfvcUUjm0veAC1Cnh2VO_YFfbuVHokGTT519-JySZv6iv1z_k5GLQVdEzMoyUOSRwBRnLFGYlZymtiQRre02xo78JRMf67GbOABnMocK8S91qLFto6yzfDqjS5483wmCsWHNqujfJMxZbG7szxScEJpGAhTzEHG8_wRu4Qy76OkLajb5bHRYx_jMgewyHnrSb2iZ4Zxl5TI.9N89N-RoyX3rDVBhFjrMxFr8wPnKErsoC-eGqliPG2g&dib_tag=se&keywords=dell+laptop&qid=1715878453&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-5&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Dell Inspiron 15 3535 Laptop - 15.6-inch FHD (1920x1080) 60Hz Touchscreen Display, AMD Ryzen 5-7530U, 8GB DDR4 RAM, 512GB SSD, AMD Radeon Graphics, Windows 11 Home - Carbon Black",568,Dell,Dell inspiron 15 3535 laptop,_15.6 Inches,_1920 x 1080 pixels,Ryzen 5,_2 GHz ryzen_5,_Integrated,_8 GB DDR4,_512 GB SSD,_Windows 11 Home,_45.2 x 35.2 x 7 cm; 1.9 kg,_6,_AMD
1715878328-196,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=3&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,Inspiron 15 3000 3525 AMD Ryzen 5 5500U 500GB SSD 16GB RAM 15.6-inch FHD Laptop Windows 11 Home,https://www.amazon.ca/Dell-Inspiron-3525-15-6-inch-Windows/dp/B0CC66WGR4/ref=sr_1_50?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.xxB-QQDb2gRLaLrd9qwM_U6WKuHjquWV44ruZFZcan5kSHMUn4ENZbk55iA6cFMCRjCkdmPJy0vBl9MPHT2oN841d44BKEF01wE9Y7FnYippCERYpSPLMcAB9-iq_SIhYkEgBJQ7ZQgSuUpkDnZW8yXHXaJelZCF2tkPUNSBaNfdI9RYJD3tEN6M7b69n0NyAfIxleDj0fI5WSctbeQvwduTduKRxpw8xd9HsT5OIRNWnPTiSnGMYikMKkNi9AR-T-W4ihN6jT4kCO2MyEV4cDTahasrLATUdiaOBmTxRh4.IIknkPMiOUmvrpPlFDKnvMdPZwiIoBCVELjoEBPLn9c&dib_tag=se&keywords=dell+laptop&qid=1715878215&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-50&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,Dell Inspiron 15 3000 3525 AMD Ryzen 5 5500U 500GB SSD 16GB RAM 15.6-inch FHD Laptop Windows 11 Home,579,Dell,Dell Inspiron 15.6,_15.6 Inches,_1920 x 1080 pixels,Ryzen 5,_2.1 GHz ryzen_5,_Integrated,_32 GB DDR4,_512 GB SSD,_Windows 11 Home,,_1,_AMD
1715878523-235,https://www.amazon.ca/s?k=dell+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=2CNL7M5IMEKYR&qid=1715862372&rnid=12035759011&sprefix=dell+laptop%2Celectronics%2C109&ref=sr_pg_2,"Inspiron 3520 15.6"" Touchscreen FHD Laptop - Intel Core i5-1155G7, 8GB RAM, 256GB SSD, Windows 11 S Mode - Carbon Black (i3520-5810BLK-PUS)",https://www.amazon.ca/Dell-Inspiron-Touchscreen-Laptop-i3520-5810BLK-PUS/dp/B0CS4PGPN9/ref=sr_1_11?crid=2CNL7M5IMEKYR&dib=eyJ2IjoiMSJ9.M128jd4lcGQiPCRhgCiGHFafm7448_fpXgXfCq1OTzXYoLccm8jcAsjMGDwm-VfuFh-VHS7H9WoEfXNGqi9TkFDCesfwdMKHGfvcUUjm0veAC1Cnh2VO_YFfbuVHokGTT519-JySZv6iv1z_k5GLQVdEzMoyUOSRwBRnLFGYlZymtiQRre02xo78JRMf67GbOABnMocK8S91qLFto6yzfDqjS5483wmCsWHNqujfJMxZbG7szxScEJpGAhTzEHG8_wRu4Qy76OkLajb5bHRYx_jMgewyHnrSb2iZ4Zxl5TI.9N89N-RoyX3rDVBhFjrMxFr8wPnKErsoC-eGqliPG2g&dib_tag=se&keywords=dell+laptop&qid=1715878453&refinements=p_36%3A15000-%2Cp_89%3ADell%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=dell+laptop%2Celectronics%2C109&sr=1-11&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Dell Inspiron 3520 15.6"" Touchscreen FHD Laptop - Intel Core i5-1155G7, 8GB RAM, 256GB SSD, Windows 11 S Mode - Carbon Black (i3520-5810BLK-PUS)",579,Dell,Dell Inspiron 3520,_15.6 Inches,_1920 x 1080 pixels,Core i5,_2.5 GHz core_i5,_Integrated,_8 GB DDR4,_256 GB SSD,_Windows 11 S,_49.3 x 32 x 7.5 cm; 2.5 kg,_4,_Intel
