,price,manufacturer,graphics_copressor,ram,num_processors,touchable,ips,ppi,cpu_name,memory,os
0,2287.0,Microsoft,NVIDIA,8,4,1,0,267.07787225659183,Intel Core i7,256,Windows
1,2999.0,Microsoft,NVIDIA,16,4,1,0,240.37008503093264,Intel Core i7,256,Windows
2,2995.0,Dell,NVIDIA,64,24,0,0,141.21199808219862,Intel Core i9,2048,Windows
3,1999.0,Dell,NVIDIA,8,14,0,0,141.50971698084905,Intel Core i7,1024,Windows
4,2999.0,Microsoft,NVIDIA,16,4,0,0,240.37008503093264,Intel Core i7,1024,Windows
5,2563.0,Dell,NVIDIA,32,24,0,0,141.21199808219862,Intel Core i9,1024,Windows
6,3599.0,Samsung,NVIDIA,32,16,0,0,212.2645754712736,Intel Core i9,1024,Windows
7,4138.0,Microsoft,NVIDIA,32,4,1,0,259.59969183340723,Intel Core i7,1024,Windows
8,2698.0,Dell,NVIDIA,48,24,0,0,141.21199808219862,Intel Core i9,1024,Windows
9,2599.0,Microsoft,NVIDIA,16,8,1,0,152.9796645890485,Intel Core i7,512,Windows
10,2127.0,Microsoft,NVIDIA,8,4,1,0,267.07787225659183,Intel Core i5,256,Windows
11,3829.0,Lenovo,NVIDIA,64,6,1,0,282.42399616439724,Other Intel Processor,3072,Windows
12,2499.0,Lenovo,NVIDIA,64,8,0,0,188.28266410959816,AMD Ryzen 7,3072,Windows
13,3373.0,Lenovo,NVIDIA,64,8,0,1,188.67962264113208,AMD Ryzen 7,3072,Windows
14,1439.0,Lenovo,NVIDIA,64,6,0,0,141.21199808219862,AMD Ryzen 5,3072,Windows
15,2631.0,Lenovo,NVIDIA,64,14,0,1,141.21199808219862,Intel Core i7,3072,Windows
16,1346.0,Lenovo,NVIDIA,8,1,0,0,141.21199808219862,AMD Ryzen 5,256,Windows
17,919.0,Lenovo,NVIDIA,8,1,0,0,127.33567457123111,AMD Ryzen 5,256,Windows
18,4771.0,Lenovo,NVIDIA,16,14,0,0,275.3633962602873,Intel Core i9,2048,Windows
19,3449.0,Lenovo,NVIDIA,32,6,1,0,282.42399616439724,Other Intel Processor,2048,Windows
20,3279.0,Lenovo,NVIDIA,32,24,0,1,188.67962264113208,Intel Core i9,2048,Windows
21,2779.0,Lenovo,NVIDIA,32,16,0,1,188.67962264113208,Intel Core i7,2048,Windows
22,1249.0,Lenovo,NVIDIA,32,6,0,0,141.21199808219862,AMD Ryzen 5,2048,Windows
23,1179.0,Lenovo,NVIDIA,32,6,0,0,141.21199808219862,AMD Ryzen 5,2048,Windows
