web-scraper-order,web-scraper-start-url,single,single-href,title,price,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715882091-70,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=6&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Go 2 - 10.5"" Touch-Screen - Intel Core m3 - 8GB Memory - 128GB SSD - Wifi + LTE - Platinum",https://www.amazon.ca/Microsoft-Surface-Go-Touch-Screen-Platinum/dp/B086QM6KM6/ref=sr_1_127?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.8f-5UEAx1hr4kTRtq9Z2JjEFxQ9rZsZBGDfBrhkDNLBcXXLNEYvl12Iedz0KhUUlNNEFY74IU11wVRaEBy3iDjtuBdc3doS3O-2wElIxAnxJwbbd1W4nz-JnAA_tZY9eery4nyV_yn1xQvi29qLDEwOCImMpAZLjpLl76D0fQP7GvSM8YDu8z_pVY5Peq590KaIp2qLnpLB-nwrz9uFcxhwelX9x1ryh2vPbWYp_0I_tQkgBJFGrHUMxn13UQp3uFT-6D2vyAjFTK_WHjAdzy9vt71NhoqZYmCCbIy86vQU.7CIFwIH36T8VPCHupeXEakxwhXlka6WoYEJo0isZuGg&dib_tag=se&keywords=microsoft+laptop&qid=1715882017&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-127,"Microsoft Surface Go 2 - 10.5"" Touch-Screen - Intel Core m3 - 8GB Memory - 128GB SSD - Wifi + LTE - Platinum",494,Microsoft,Surface Go 2,_10.5 Inches,_1920 x 1280 pixels,,_1.1 GHz,_Integrated,_8 GB,_128 GB SSD,_Windows 10 Home,,_1,_Intel
1715882171-90,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=5&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Pro 7: 12.3"" Touchscreen Tablet (Intel Core i3/4GB RAM/128GB SSD/Windows 10 Home) Device Only - Platinum",https://www.amazon.ca/Microsoft-VDH-00001-New-Surface-Pro/dp/B07ZF69HXV/ref=sr_1_107?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.0I2HsugMXeUKLyw8wYhYIsyWFGCnlk6CjPU5Lf6NgKO4J8bQo_mJWv9xUniaWPx9vgbPEaokuiBQukmC4jdexeHXj23sOXHGrut6-Cq9uvyBPZyS3PY-KIV_DrPRxyJ-l1mGk6q6DCbdN-1MtHmHCN7G2SU7EoCEhAMwI_1YqWgLwr23PGmmd4kGm3ZBYvZJxsoo3S3CADRKjkr3_KVGTqpE5Pf9N9BMk6amsfY1NNL0lVTk_Y4_76NoDaUiypNw-82Fptd4NTesGI6g38Cc3aQ7fiM9hROzuLNXNnYbjyI.YUzMh7F_AdySbEu9BkZnOh7u_kUEOfLjJPjZM2u9cAw&dib_tag=se&keywords=microsoft+laptop&qid=1715882117&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-107&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Microsoft Surface Pro 7: 12.3"" Touchscreen Tablet (Intel Core i3/4GB RAM/128GB SSD/Windows 10 Home) Device Only - Platinum",648,Microsoft,Pro 7,_12.3 Inches,_2736x1824,,_1.2 GHz core_i3,_Integrated,_4 GB SDRAM,,_Windows 10 Home,,_2,_Intel
1715881923-28,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=8&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Laptop 4 (2021): 15"" Touchscreen Laptop (AMD Ryzen 7/8GB RAM/256GB SSD) Platinum - English Keyboard",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo1NDU5MDg3ODI0OTgwMDI0OjE3MTU4ODE4MTQ6c3BfYXRmX25leHQ6MzAwMTgxOTQ0MzY5NjAyOjowOjo&url=%2FMicrosoft-Surface-Laptop-Touchscreen-Platinum%2Fdp%2FB08YWY6QKC%2Fref%3Dsr_1_169_sspa%3Fcrid%3D36AJ9BV0X99GQ%26dib%3DeyJ2IjoiMSJ9.-32yyIHXQJzGestU4JXS_TcE-e3TZB7UcKXUVOh_xMh8Sy3HHLGVir3hCnIooDdWdfHygQtfhlJ_NEGfwYJ2IUDyGKAj58Sr1LOQWoYeV4nfCYzfYFBJPKeCcSsC43fPc2isN4QXowF_aerHBRB941PgyiSiFyeAweSYW0gm2SbzhQqBNm4dO-meqBwgpKrUA7cu4sLNnxfP-5FvaQxbx1UQznGDQgfXKRBngQZMvfaD07ciWWFCHDEe-oZasNufS8YCRotHWzWKJD-GRVpMEvaIXFxOfl4qhHOe18V0hEs.VKxesV3pI3-4XaxHpM3LBPTbz11tUX3grjTFcsYSJHg%26dib_tag%3Dse%26keywords%3Dmicrosoft%2Blaptop%26qid%3D1715881814%26refinements%3Dp_36%253A15500-%252Cp_n_condition-type%253A11192164011%252Cp_89%253AMicrosoft%26rnid%3D12035759011%26s%3Delectronics%26sprefix%3Dmicrosoft%2Blaptop%252Celectronics%252C109%26sr%3D1-169-spons%26ufe%3Dapp_do%253Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Microsoft Surface Laptop 4 (2021): 15"" Touchscreen Laptop (AMD Ryzen 7/8GB RAM/256GB SSD) Platinum - English Keyboard",789,Microsoft,Surface Laptop,_15,_2496 x 1664 pixels,AMD Ryzen 7,_2 GHz amd_ryzen_7,_Integrated,_8 GB DDR4,_256 GB SSD,_Windows 10 Home,,_8,_AMD
1715882621-193,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=1&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Laptop 4 (2021): 15"" Touchscreen Laptop (AMD Ryzen 7/8GB RAM/256GB SSD) Platinum - English Keyboard",https://www.amazon.ca/Microsoft-Surface-Laptop-Touchscreen-Platinum/dp/B08YWY6QKC/ref=sr_1_4?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.lhh3f--Vh-Au27ONq3QV34hAmiwp16A1RDAFAHPmhf5oE_TYuu_3y2LMyt7gHEF3gkHUo3F56wqfBoUGygF8IUUNWm84HYpmaCMMlf1SuudEXvvMmCgh-x0zbgUoyMHM4MGJvUWGjCdGPLt-NO65TO3v2JKFMyfKmqk5Ks7-X2ts3KKb8Ww7imrPhdoSrS3hFLDwETBkwsC9tHZRJALd5c601gIkJgJwUvjH1bW3xzpbLRZRtdbAUE9mVlej9qX3mZm-TgT0Rh9myjfNfQhahjtxzn7uSi6mL3uPiRutU_U.e7u3Z0JYPnjT07CYBZOFzypSYV46JK2LOHda85isUBY&dib_tag=se&keywords=microsoft+laptop&qid=1715882521&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-4&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Microsoft Surface Laptop 4 (2021): 15"" Touchscreen Laptop (AMD Ryzen 7/8GB RAM/256GB SSD) Platinum - English Keyboard",789,Microsoft,Surface Laptop,_15,_2496 x 1664 pixels,AMD Ryzen 7,_2 GHz amd_ryzen_7,_Integrated,_8 GB DDR4,_256 GB SSD,_Windows 10 Home,,_8,_AMD
1715882630-195,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=1&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Laptop Go 2 (2022): 12.4"" Touchscreen Laptop (Intel Core i5/8GB RAM/256GB SSD/Windows 11) Platinum - English Keyboard",https://www.amazon.ca/Microsoft-Surface-Laptop-Go-Touchscreen/dp/B09X2DF8G3/ref=sr_1_2?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.lhh3f--Vh-Au27ONq3QV34hAmiwp16A1RDAFAHPmhf5oE_TYuu_3y2LMyt7gHEF3gkHUo3F56wqfBoUGygF8IUUNWm84HYpmaCMMlf1SuudEXvvMmCgh-x0zbgUoyMHM4MGJvUWGjCdGPLt-NO65TO3v2JKFMyfKmqk5Ks7-X2ts3KKb8Ww7imrPhdoSrS3hFLDwETBkwsC9tHZRJALd5c601gIkJgJwUvjH1bW3xzpbLRZRtdbAUE9mVlej9qX3mZm-TgT0Rh9myjfNfQhahjtxzn7uSi6mL3uPiRutU_U.e7u3Z0JYPnjT07CYBZOFzypSYV46JK2LOHda85isUBY&dib_tag=se&keywords=microsoft+laptop&qid=1715882521&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-2&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Microsoft Surface Laptop Go 2 (2022): 12.4"" Touchscreen Laptop (Intel Core i5/8GB RAM/256GB SSD/Windows 11) Platinum - English Keyboard",829,Microsoft,Microsoft Surface Laptop Go 2,_12.45 Inches,_2736x1824,Core i5,_4.2 GHz core_i5,_Integrated,_8 GB LPDDR4X,_256 GB SSD,_Windows 11 Home,,_4,_Intel
1715882584-185,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=1&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Laptop Go 2 (2022): 12.4"" Touchscreen Laptop (Intel Core i5/8GB RAM/128GB SSD/Windows 11) Sage - French Keyboard",https://www.amazon.ca/Microsoft-Surface-Laptop-Go-Touchscreen/dp/B0B342SJB4/ref=sr_1_12?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.lhh3f--Vh-Au27ONq3QV34hAmiwp16A1RDAFAHPmhf5oE_TYuu_3y2LMyt7gHEF3gkHUo3F56wqfBoUGygF8IUUNWm84HYpmaCMMlf1SuudEXvvMmCgh-x0zbgUoyMHM4MGJvUWGjCdGPLt-NO65TO3v2JKFMyfKmqk5Ks7-X2ts3KKb8Ww7imrPhdoSrS3hFLDwETBkwsC9tHZRJALd5c601gIkJgJwUvjH1bW3xzpbLRZRtdbAUE9mVlej9qX3mZm-TgT0Rh9myjfNfQhahjtxzn7uSi6mL3uPiRutU_U.e7u3Z0JYPnjT07CYBZOFzypSYV46JK2LOHda85isUBY&dib_tag=se&keywords=microsoft+laptop&qid=1715882521&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-12&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Microsoft Surface Laptop Go 2 (2022): 12.4"" Touchscreen Laptop (Intel Core i5/8GB RAM/128GB SSD/Windows 11) Sage - French Keyboard",869,Microsoft,Microsoft Surface Laptop Go 2,_12.45,_1280 x 800 pixels,Core i5,_4.2 GHz core_i5,_Integrated,_128 GB LPDDR4X,_128 GB SSD,_Windows 11 Home,,_4,_Intel
1715881909-24,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=8&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Pro 4 i5 (256GB, 8GB RAM)",https://www.amazon.ca/Microsoft-Surface-Pro-256GB-8GB/dp/B01606IDL0/ref=sr_1_173?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.-32yyIHXQJzGestU4JXS_TcE-e3TZB7UcKXUVOh_xMh8Sy3HHLGVir3hCnIooDdWdfHygQtfhlJ_NEGfwYJ2IUDyGKAj58Sr1LOQWoYeV4nfCYzfYFBJPKeCcSsC43fPc2isN4QXowF_aerHBRB941PgyiSiFyeAweSYW0gm2SbzhQqBNm4dO-meqBwgpKrUA7cu4sLNnxfP-5FvaQxbx1UQznGDQgfXKRBngQZMvfaD07ciWWFCHDEe-oZasNufS8YCRotHWzWKJD-GRVpMEvaIXFxOfl4qhHOe18V0hEs.VKxesV3pI3-4XaxHpM3LBPTbz11tUX3grjTFcsYSJHg&dib_tag=se&keywords=microsoft+laptop&qid=1715881814&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-173&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Microsoft Surface Pro 4 i5 (256GB, 8GB RAM)",889,Microsoft,CR3-00001,_12.3 Inches,_2736x1824,,_3 GHz,,_8 GB,_256 GB SSD,_Windows 10 Professional,,_1,_Intel
1715882547-177,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=1&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Laptop 3 (2020): 15"" Touchscreen Laptop (AMD R7/16GB RAM/512 SSD/Windows 10 Home) Platinum - French Keyboard",https://www.amazon.ca/Surface-Laptop-15-512-Platinum/dp/B08DJF3HHP/ref=sr_1_20?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.lhh3f--Vh-Au27ONq3QV34hAmiwp16A1RDAFAHPmhf5oE_TYuu_3y2LMyt7gHEF3gkHUo3F56wqfBoUGygF8IUUNWm84HYpmaCMMlf1SuudEXvvMmCgh-x0zbgUoyMHM4MGJvUWGjCdGPLt-NO65TO3v2JKFMyfKmqk5Ks7-X2ts3KKb8Ww7imrPhdoSrS3hFLDwETBkwsC9tHZRJALd5c601gIkJgJwUvjH1bW3xzpbLRZRtdbAUE9mVlej9qX3mZm-TgT0Rh9myjfNfQhahjtxzn7uSi6mL3uPiRutU_U.e7u3Z0JYPnjT07CYBZOFzypSYV46JK2LOHda85isUBY&dib_tag=se&keywords=microsoft+laptop&qid=1715882521&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-20&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Microsoft Surface Laptop 3 (2020): 15"" Touchscreen Laptop (AMD R7/16GB RAM/512 SSD/Windows 10 Home) Platinum - French Keyboard",925,Microsoft,Surface Laptop 3,_15 Inches,_2256 x 1504 pixels,Ryzen 7 3700U,_4 GHz ryzen_7_3700u,_Integrated,_512 GB DDR4,_512 GB SSD,_Windows 10 Home,,_4,_AMD
1715882625-194,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=1&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Laptop Go 3 (2023) 12.4"" PixelSense Display, Ultralight Touchscreen Laptop with Intel Core i5 Processor, 8GB RAM, 256GB SSD, Windows 11 -Platinum, English Keyboard",https://www.amazon.ca/Microsoft-PixelSense-Ultralight-Touchscreen-Processor/dp/B0CF34PD3T/ref=sr_1_3?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.lhh3f--Vh-Au27ONq3QV34hAmiwp16A1RDAFAHPmhf5oE_TYuu_3y2LMyt7gHEF3gkHUo3F56wqfBoUGygF8IUUNWm84HYpmaCMMlf1SuudEXvvMmCgh-x0zbgUoyMHM4MGJvUWGjCdGPLt-NO65TO3v2JKFMyfKmqk5Ks7-X2ts3KKb8Ww7imrPhdoSrS3hFLDwETBkwsC9tHZRJALd5c601gIkJgJwUvjH1bW3xzpbLRZRtdbAUE9mVlej9qX3mZm-TgT0Rh9myjfNfQhahjtxzn7uSi6mL3uPiRutU_U.e7u3Z0JYPnjT07CYBZOFzypSYV46JK2LOHda85isUBY&dib_tag=se&keywords=microsoft+laptop&qid=1715882521&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-3&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Microsoft Surface Laptop Go 3 (2023) 12.4"" PixelSense Display, Ultralight Touchscreen Laptop with Intel Core i5 Processor, 8GB RAM, 256GB SSD, Windows 11 -Platinum, English Keyboard",949,Microsoft,Surface Laptop Go 3,_12.45 Inches,_1920 x 1080 pixel,Intel Core i5,_4.4 GHz apple_ci5,_Integrated,_8 Lpddr 5,_256 GB SSD,_Windows 11 Home,_30.2 x 22.7 x 5.4 cm; 1.13 kg,_10,_Intel
1715882634-196,https://www.amazon.ca/s?k=microsoft+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&dc&page=1&crid=36AJ9BV0X99GQ&qid=1715867034&rnid=12035759011&sprefix=microsoft+laptop%2Celectronics%2C109&ref=sr_pg_8,"Surface Laptop Go 3 (2023) 12.4"" PixelSense Display, Ultralight Touchscreen Laptop with Intel Core i5 Processor, 8GB RAM, 256GB SSD, Windows 11 -Ice Blue, English Keyboard",https://www.amazon.ca/Microsoft-PixelSense-Ultralight-Touchscreen-Processor/dp/B0CF3CYPB6/ref=sr_1_1?crid=36AJ9BV0X99GQ&dib=eyJ2IjoiMSJ9.lhh3f--Vh-Au27ONq3QV34hAmiwp16A1RDAFAHPmhf5oE_TYuu_3y2LMyt7gHEF3gkHUo3F56wqfBoUGygF8IUUNWm84HYpmaCMMlf1SuudEXvvMmCgh-x0zbgUoyMHM4MGJvUWGjCdGPLt-NO65TO3v2JKFMyfKmqk5Ks7-X2ts3KKb8Ww7imrPhdoSrS3hFLDwETBkwsC9tHZRJALd5c601gIkJgJwUvjH1bW3xzpbLRZRtdbAUE9mVlej9qX3mZm-TgT0Rh9myjfNfQhahjtxzn7uSi6mL3uPiRutU_U.e7u3Z0JYPnjT07CYBZOFzypSYV46JK2LOHda85isUBY&dib_tag=se&keywords=microsoft+laptop&qid=1715882521&refinements=p_36%3A15500-%2Cp_n_condition-type%3A11192164011%2Cp_89%3AMicrosoft&rnid=12035759011&s=electronics&sprefix=microsoft+laptop%2Celectronics%2C109&sr=1-1&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"Microsoft Surface Laptop Go 3 (2023) 12.4"" PixelSense Display, Ultralight Touchscreen Laptop with Intel Core i5 Processor, 8GB RAM, 256GB SSD, Windows 11 -Ice Blue, English Keyboard",949,Microsoft,Surface Laptop Go 3,_12.45 Inches,_1920 x 1080 pixel,Intel Core i5,_4.4 GHz apple_ci5,_Integrated,_8 Lpddr 5,_256 GB SSD,_Windows 11 Home,_30 x 22.7 x 5.4 cm; 1.13 kg,_10,_Intel
