web-scraper-order,web-scraper-start-url,single,single-href,title,price,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715883771-198,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"Laptop 16GB DDR4 512GB SSD, Quad-Core Intel N95 Processor(Up to 3.4GHz), 15.6 inch FHD Laptop Computer, Windows 11 Laptop, 5G WiFi, BT5.0, USB3.2, Type_C, Metal Shell, 38Wh Battery",https://www.amazon.ca/ACEMAGIC-Quad-Core-Processor-Computer-Windows/dp/B0CPVDSM98/ref=sr_1_43?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.XCSRziknOcXsAFcRmDuGzTOJTIS_q9sBWXs0sVuT5vcq-35O6GJjhzXgCV2R3U-1DpBmWdxr1Jyw4SFHqeQFv84_AztqlrLydnKRgDgns0NkoYu510yjBY6rxKcWAlsdiL8PzX8gVBFHvzJybGoMrD9QTKtwDqMNacIefGyVJ25T2Dktln3rw8J4w7g3GOQdmNZPdB_dlIKwc9H3dnNLWoLmnKLU4XglCZ3thpYkxgBYK8HSbZ1kvSon9sfOD78ZK70mlGg1suSQe1QI6LIuGhtr3v21wFxZYcCRFda4ozg.NXlTyBjdlqgPcVBawjYwMjm3oM9n7Au5eLiGgZrpJZc&dib_tag=se&keywords=samsung+laptop&qid=1715883738&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-43,"ACEMAGIC Laptop 16GB DDR4 512GB SSD, Quad-Core Intel N95 Processor(Up to 3.4GHz), 15.6 inch FHD Laptop Computer, Windows 11 Laptop, 5G WiFi, BT5.0, USB3.2, Type_C, Metal Shell, 38Wh Battery",449,ACEMAGIC,AX15,_15.6 Inches,_1920 x 1080 pixels,Intel Mobile CPU,_3.4 GHz Intel_Mobile_CPU,_Intel UHD Graphics 1200MHz Integrated,_16 GB DDR4,_512 GB SSD,_Windows 11,_51 x 30 x 8 cm; 1.7 kg,_4,_Intel
1715883955-236,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"Laptop 16GB DDR4 512GB SSD, Quad-Core Intel N95 Processor(Up to 3.4GHz), Windows 11 Ordinateur Portable, 15.6 inch FHD Laptop Computer, 2.4G/5G WiFi, BT5.0, USB3.2, Type_C, Metal Design",https://www.amazon.ca/ACEMAGIC-Quad-Core-Processor-Ordinateur-Portable/dp/B0CLZMK2CS/ref=sr_1_11?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.OHxfDzWV1olE6rVSTukipLr_UO523Y1GRQgNCzBJiMZIsTg-LjjA31fXJ0VaSkPaijLV2zGTpYo1PDKOG298A_UFXgRn8pC7Wi5ibNXQU30vsrbWEAQvZXf3jds8xKe-93MEkm_cHDkhs6QDRTGRdUV57JjarmrnW8wRtBktaD10t12aP0qDAkPSE7H5tGsdt6iBQWt10-0ptjn9TNExVDtklpRW2jGZHkEY3mRB0wdpSFFgoYZlt8HM3M7Q-4bmJZugmLwJkrAN832oJGC2RmYgc5WDDLT8Uq21kXeaDhg.a874xzIkd7FRJdKpoYM6nNwPc1NzVIGQSFAUquYw3ZA&dib_tag=se&keywords=samsung+laptop&qid=1715883859&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-11,"ACEMAGIC Laptop 16GB DDR4 512GB SSD, Quad-Core Intel N95 Processor(Up to 3.4GHz), Windows 11 Ordinateur Portable, 15.6 inch FHD Laptop Computer, 2.4G/5G WiFi, BT5.0, USB3.2, Type_C, Metal Design",499,ACEMAGIC,AX15,_15.6 Inches,_1920 x 1080,Intel Mobile CPU,_3.4 GHz Intel_Mobile_CPU,_Intel UHD Graphics 1200MHz Integrated,_16 GB DDR4,_512 GB SSD,_Windows 11,_51.16 x 31.4 x 7.53 cm; 1.7 kg,_4,_Intel
1715883785-201,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"16.1Ò Laptop AMD Ryzen 7 5700U(Beats i7-1265U), 16GB DDR4 512GB NVMe SSD, Windows 11 Gaming Laptop, Radeon RX Vega 8 Graphics, Metal Shell, Backlit KB, WiFi 6, BT5.2, USB_C, 53Wh Battery",https://www.amazon.ca/ACEMAGIC-i7-1265U-Windows-Graphics-Backlit/dp/B0CPYCV9BM/ref=sr_1_40?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.XCSRziknOcXsAFcRmDuGzTOJTIS_q9sBWXs0sVuT5vcq-35O6GJjhzXgCV2R3U-1DpBmWdxr1Jyw4SFHqeQFv84_AztqlrLydnKRgDgns0NkoYu510yjBY6rxKcWAlsdiL8PzX8gVBFHvzJybGoMrD9QTKtwDqMNacIefGyVJ25T2Dktln3rw8J4w7g3GOQdmNZPdB_dlIKwc9H3dnNLWoLmnKLU4XglCZ3thpYkxgBYK8HSbZ1kvSon9sfOD78ZK70mlGg1suSQe1QI6LIuGhtr3v21wFxZYcCRFda4ozg.NXlTyBjdlqgPcVBawjYwMjm3oM9n7Au5eLiGgZrpJZc&dib_tag=se&keywords=samsung+laptop&qid=1715883738&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-40&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"ACEMAGIC 16.1Ò Laptop AMD Ryzen 7 5700U(Beats i7-1265U), 16GB DDR4 512GB NVMe SSD, Windows 11 Gaming Laptop, Radeon RX Vega 8 Graphics, Metal Shell, Backlit KB, WiFi 6, BT5.2, USB_C, 53Wh Battery",699,ACEMAGIC,AX16PRO,_16.1 Inches,_1920 x 1080 pixel,Ryzen 7 5700U,,_AMD Radeon Vega 8 Graphics 1.90GHz Integrated,_16 GB DDR4,_512 GB M.2 2280 NVMe Solid State Drive,_Windows 11,_51.6 x 33 x 7.3 cm; 1.7 kg,_8,_AMD
1715883575-158,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"Chromebook Spin 311 2-in-1 IPS Touchscreen Laptop,11.6"" HD Display, MediaTek Kompanio 500 MT8183C, 4GB LPDDR4X, 64GB eMMC, WiFi 5, HD Webcam, Pure Silver, Chrome OS, 128GB USB Card",https://www.amazon.ca/Acer-Chromebook-Spin-311-Touchscreen/dp/B0CNP81GBR/ref=sr_1_83?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.hg2wzDmAEwwdF0xmQDrGpZM9IyTuG9cMOFEGY5H6F2eUvydEN3V5hRNFopsxk_2xHp-3sGpG6-xVd_M9x7bWScz_2pZFni8Gxm0OVRtYqa2weTZDXFVYPujamRZxls3_H2X7EpmiFxAZ3DMOOud_oM7QWQ7ha5z_3566w8kfRKdegPBwc_ENu3At34b3qfl7O1ENcImsgu10dftFYTxJGwFpXup_W1TyFHD2EElWKnqW7ORKLjh09HzepkiXrZN_pF8Aclz9Vl7bAB4Lz16N7s84UufFPl8JBCUJyNEX7xA.bYYa9IiRPxjGYa2flVmeGoPCiYaihJjMZKNK1PYExmE&dib_tag=se&keywords=samsung+laptop&qid=1715883509&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-83,"Acer Chromebook Spin 311 2-in-1 IPS Touchscreen Laptop,11.6"" HD Display, MediaTek Kompanio 500 MT8183C, 4GB LPDDR4X, 64GB eMMC, WiFi 5, HD Webcam, Pure Silver, Chrome OS, 128GB USB Card",359,Acer,Chromebook,_11.6 Inches,_1366 x 768 pixels,MediaTek MT8183,_2 GHz mediatek_mt8183,_Integrated,_4 GB LPDDR4,_64 GB Emmc,_Chrome OS,_39.2 x 23.7 x 7.8 cm; 1.05 kg,_8,_MediaTek
1715883041-25,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=9&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"Chromebook 15, Intel Atom X5-E8000 Quad-Core Processor, 15.6"" HD, 4GB LPDDR3, 16GB eMMC, CB3-532-108H",https://www.amazon.ca/Acer-Chromebook-Quad-Core-Processor-CB3-532-108H/dp/B07TD6T9WV/ref=sr_1_216?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.Ptm17hmCX9O1r8O9M6PEvyEik94SWQAUd4ipILReKitZ19yUVeNyEfBPEbpizST2WapyIN1yioAIVvL6R7qDVxFg-piuSuSbi4WNhQBdlPyR24GmllVdxcvhh7P_ybwYK70AdMDo4p8tYwMa2idLXLliDhYyj8IbJMfy65scQq6S5LqwP3jjMZ7vZlbQNmKX4gx-wW90K65TuwIyHzoyN4FjjEfVImWoIHKqyI420PwNIylTtESI_LTvNpQqI_JwOdM48hI8MmmrXNSvEXUq7dzm99orw3gzM5pDEUQD3NE.gGq1oOxP5o4whdRdFamaiULjhiPjt8XOQcHDhHdO2aM&dib_tag=se&keywords=samsung+laptop&qid=1715883035&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-216&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Acer Chromebook 15, Intel Atom X5-E8000 Quad-Core Processor, 15.6"" HD, 4GB LPDDR3, 16GB eMMC, CB3-532-108H",738,Acer,CB3-532-108H,_15.6 Inches,_1280 x 720 pixels,Intel Atom,_intel_atom,_Integrated,_4 GB DDR3,_16 Embedded MultiMediaCard,_Chrome OS,,_4,_Intel
1715883331-106,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=6&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"PT16-51-909L Laptop 16"" QHD Intel Core i9-13900H 32GB RAM 1TB SSD NVIDIA GeForce RTX 4070 8GB GDDR6X Win 11",https://www.amazon.ca/Acer-PT16-51-909L-Laptop-i9-13900H-GeForce/dp/B0C2W3WMV2/ref=sr_1_135?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.B1IFCAPu7tGRan4WtjDZtcpdxOhRQbfxHvjM3lMzU_h32OloQUenqzOq7QE25J54URzhW0PZtaBhU25mhpXPtoTmZvRU-avk3WEX_z5nt0fMjy0eq29B15gKYsFt5ZF1aNvpnmuw0l44jK6QP_eCo8fcj2OLuHjRs9K-6fucP2see_qlE4JY-GUPrcFtFbsfssLygVf9_7uyD1WUbE7P4mYICneLVzEI9NpfhBobuVoBU-yMxWYUtTdXl-1LAS0MKgjjG31B32HP9kwRX2gQLCDfApUtJqtqj4JG910aj0o.zjVaaMFmqgRvBr3WcO9ILRooE1HOYXppOuLAW072lFY&dib_tag=se&keywords=samsung+laptop&qid=1715883294&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-135&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"Acer PT16-51-909L Laptop 16"" QHD Intel Core i9-13900H 32GB RAM 1TB SSD NVIDIA GeForce RTX 4070 8GB GDDR6X Win 11","2,499.00",Acer,Predator Triton,_16 Inches,_2560 x 1440 pixels,Core i9,_4.1 GHz core_i9,_Dedicated,_32 GB DDR5,_1 TB SSD,_Windows 11 Home,_52.1 x 35.2 x 10.7 cm; 2.4 kg,_6,_Intel
1715883437-128,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=5&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"VivoBook S15 S533 Thin and Light Laptop, 15.6Ó FHD Display, Intel Core i7 Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, Indie Black, S533EA-AS79-CA",https://www.amazon.ca/VivoBook-Display-i7-1165G7-Processor-S533EA-AS79-CA/dp/B09QRGP3M5/ref=sr_1_113?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.EcZ1Eke0X5pA9x6GPWFhU2ApyQFt4gkUV-CtL3X9vRSB12TNN4RVGVO41Dq7y0-kIlbdM_O4iVyC6YQGY8s6pioVrjTdklz6KivZQbhp3GbPPQjmbvkCdZUV7gWPmhGqWMRvlMF97lTI9pmVd17KpHCy3adaFVLdCbReSrivmC0sEuNALw5X_5AFXX2ji4cgXPHcauXLwhl00YqEfC4Go2WA65KCxolPLe-HtL9CjZHYx2r0ucfSifWCd6O3dGgWNZFsdiao9zlFkdj8OHIdffgA17mO3jZ1W3GNoGCNDkM.K1QaBoE6DFpglqghk-EEVkEfpwaJYotQ4VjmJRqYcJs&dib_tag=se&keywords=samsung+laptop&qid=1715883402&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-113&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6Ó FHD Display, Intel Core i7 Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, Indie Black, S533EA-AS79-CA",799,Asus,ASUS VivoBook S15 S533 Thin and Light Laptop,_15.6 Inches,_1920 x 1080 pixel,None,_2.8 GHz none,_Integrated,_8 GB DDR4,_512 GB SSD,_Windows 11 Home,,_4,_Intel
1715883522-146,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"Inspiron 15 15.6'' FHD Touchscreen Laptop, Intel Core i5 1155G7 Processor, 16GB DDR4 RAM, 512GB PCIe SSD, Intel UHD Graphics, Full Size Keyboard, Wi-Fi 5, Windows 11 Home, Black",https://www.amazon.ca/Dell-Inspiron-15-Touchscreen-Processor/dp/B08X1L88S2/ref=sr_1_95?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.hg2wzDmAEwwdF0xmQDrGpZM9IyTuG9cMOFEGY5H6F2eUvydEN3V5hRNFopsxk_2xHp-3sGpG6-xVd_M9x7bWScz_2pZFni8Gxm0OVRtYqa2weTZDXFVYPujamRZxls3_H2X7EpmiFxAZ3DMOOud_oM7QWQ7ha5z_3566w8kfRKdegPBwc_ENu3At34b3qfl7O1ENcImsgu10dftFYTxJGwFpXup_W1TyFHD2EElWKnqW7ORKLjh09HzepkiXrZN_pF8Aclz9Vl7bAB4Lz16N7s84UufFPl8JBCUJyNEX7xA.bYYa9IiRPxjGYa2flVmeGoPCiYaihJjMZKNK1PYExmE&dib_tag=se&keywords=samsung+laptop&qid=1715883509&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-95&ufe=app_do%3Aamzn1.fos.c021cf91-aacd-4a27-9bf5-80aba3271009,"Dell Inspiron 15 15.6'' FHD Touchscreen Laptop, Intel Core i5 1155G7 Processor, 16GB DDR4 RAM, 512GB PCIe SSD, Intel UHD Graphics, Full Size Keyboard, Wi-Fi 5, Windows 11 Home, Black",729,Dell,Inspiron,_15.6 Inches,_1920 x 1080 pixels,Core i5,_2.5 GHz core_i5,_Integrated,_16 GB DDR4,_512 GB SSD,_Windows 11 Home,_49.5 x 32.2 x 7.2 cm; 1.65 kg,_4,_Intel
1715883553-153,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"Inspiron 16 7620 Laptop - 16"" FHD+ Touchscreen Display, Intel Core i7-1260P, 16 GB DDR4 RAM, 1 TB SSD, Intel Iris Xe Graphics, Windows 11 Home - Platinum Silver",https://www.amazon.ca/Dell-Inspiron-7620-Laptop-Touchscreen/dp/B0B42D79VN/ref=sr_1_88?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.hg2wzDmAEwwdF0xmQDrGpZM9IyTuG9cMOFEGY5H6F2eUvydEN3V5hRNFopsxk_2xHp-3sGpG6-xVd_M9x7bWScz_2pZFni8Gxm0OVRtYqa2weTZDXFVYPujamRZxls3_H2X7EpmiFxAZ3DMOOud_oM7QWQ7ha5z_3566w8kfRKdegPBwc_ENu3At34b3qfl7O1ENcImsgu10dftFYTxJGwFpXup_W1TyFHD2EElWKnqW7ORKLjh09HzepkiXrZN_pF8Aclz9Vl7bAB4Lz16N7s84UufFPl8JBCUJyNEX7xA.bYYa9IiRPxjGYa2flVmeGoPCiYaihJjMZKNK1PYExmE&dib_tag=se&keywords=samsung+laptop&qid=1715883509&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-88,"Dell Inspiron 16 7620 Laptop - 16"" FHD+ Touchscreen Display, Intel Core i7-1260P, 16 GB DDR4 RAM, 1 TB SSD, Intel Iris Xe Graphics, Windows 11 Home - Platinum Silver","1,196.00",Dell,Dell Inspiron 16 2 in 1 7620,_16 Inches,_1920 x 1200 pixel,Core i7 Family,_3.4 GHz core_i7_family,_Integrated,_16 GB DDR4,_SSD,_Windows 10 Pro,,_12,_Intel
1715883755-195,https://www.amazon.ca/s?k=samsung+laptop&i=electronics&rh=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=FXEH7ZBQ88O8&qid=1715872408&rnid=12035759011&sprefix=samsung+laptop%2Celectronics%2C171&ref=sr_pg_3,"Chromebook 14 inch Laptop, HD Display, Intel Celeron N4500, 4 GB RAM, 64 GB eMMC, Intel UHD Graphics, Chrome OS, 14a-na1010ca (2021)",https://www.amazon.ca/HP-370W8UA-ABL-Chromebook-14a-na1010ca/dp/B09Z7863KS/ref=sr_1_46?crid=FXEH7ZBQ88O8&dib=eyJ2IjoiMSJ9.XCSRziknOcXsAFcRmDuGzTOJTIS_q9sBWXs0sVuT5vcq-35O6GJjhzXgCV2R3U-1DpBmWdxr1Jyw4SFHqeQFv84_AztqlrLydnKRgDgns0NkoYu510yjBY6rxKcWAlsdiL8PzX8gVBFHvzJybGoMrD9QTKtwDqMNacIefGyVJ25T2Dktln3rw8J4w7g3GOQdmNZPdB_dlIKwc9H3dnNLWoLmnKLU4XglCZ3thpYkxgBYK8HSbZ1kvSon9sfOD78ZK70mlGg1suSQe1QI6LIuGhtr3v21wFxZYcCRFda4ozg.NXlTyBjdlqgPcVBawjYwMjm3oM9n7Au5eLiGgZrpJZc&dib_tag=se&keywords=samsung+laptop&qid=1715883738&refinements=p_36%3A15000-%2Cp_n_condition-type%3A11192164011&rnid=12035759011&s=electronics&sprefix=samsung+laptop%2Celectronics%2C171&sr=1-46,"HP Chromebook 14 inch Laptop, HD Display, Intel Celeron N4500, 4 GB RAM, 64 GB eMMC, Intel UHD Graphics, Chrome OS, 14a-na1010ca (2021)",229,HP,14a-na1010ca,_14 Inches,_1920 x 1080 pixel,Intel Celeron D,_2.8 GHz intel_celeron_d,_Integrated,_4 GB DDR4,_4 GB SSD,_Chrome OS,,_2,_Intel
